colsample_bylevel,colsample_bynode,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample,mean_test_score
0.2,1.0,1.0,0.0,0.9,9,0.0,5.0,0.0,1.0,0.93579
0.2,1.0,0.2,3.502,0.9,10,1.972,0.0,5.0,1.0,0.93567
1.0,0.2,1.0,0.0,0.9,7,0.0,5.0,2.567,1.0,0.93564
1.0,0.2,1.0,0.0,0.9,6,3.192,5.0,0.0,1.0,0.93558
0.593,0.919,0.397,3.945,0.226,7,0.363,2.063,0.025,0.748,0.93541
0.2,0.2,1.0,0.0,0.9,4,2.308,2.585,5.0,1.0,0.93535
1.0,0.2,1.0,0.0,0.2,8,0.759,0.0,2.02,1.0,0.9353
1.0,1.0,1.0,0.0,0.2,8,0.0,0.0,5.0,1.0,0.93509
1.0,0.2,1.0,0.0,0.9,10,5.472,1.82,0.0,1.0,0.93504
1.0,0.2,1.0,0.0,0.9,10,3.606,5.0,0.0,1.0,0.93498
1.0,1.0,1.0,6.312,0.2,10,0.0,0.0,0.0,1.0,0.93469
0.2,0.2,0.2,0.0,0.9,10,1.489,0.0,4.087,0.5,0.93463
0.532,0.696,0.554,5.89,0.663,4,0.506,0.523,2.656,0.791,0.93452
0.659,0.437,0.23,1.039,0.809,4,3.817,1.939,0.599,0.619,0.93449
0.2,0.2,1.0,2.015,0.2,10,3.624,0.0,5.0,1.0,0.93443
0.526,0.707,0.906,6.879,0.529,4,4.11,0.421,0.128,0.588,0.93432
1.0,1.0,1.0,0.0,0.9,4,7.5,5.0,0.0,1.0,0.93414
1.0,1.0,1.0,0.0,0.9,4,2.803,5.0,5.0,1.0,0.93411
1.0,1.0,1.0,7.197,0.9,7,4.219,0.0,0.0,1.0,0.93394
1.0,0.2,1.0,0.0,0.2,10,2.418,3.238,5.0,1.0,0.93391
1.0,0.2,0.2,0.0,0.9,7,0.0,1.401,2.216,0.5,0.93388
0.2,1.0,1.0,0.0,0.9,10,0.0,5.0,5.0,1.0,0.93383
0.427,0.928,0.29,0.78,0.702,7,7.263,4.992,4.399,0.949,0.93359
0.449,0.855,0.468,1.937,0.277,10,6.488,4.262,0.398,0.88,0.93357
0.2,0.2,0.2,1.762,0.9,10,2.36,1.932,0.0,1.0,0.93357
0.745,0.641,0.618,1.097,0.632,9,6.974,4.368,3.884,0.973,0.93336
1.0,1.0,1.0,0.0,0.9,8,7.5,0.0,5.0,1.0,0.93331
0.2,1.0,0.2,0.0,0.9,4,7.5,0.0,5.0,1.0,0.93322
1.0,0.2,1.0,2.757,0.2,10,7.5,0.0,5.0,1.0,0.93316
0.2,1.0,0.2,0.0,0.9,10,7.5,0.0,0.0,1.0,0.93313
0.666,0.2,0.55,0.706,0.9,10,0.918,0.0,0.871,0.5,0.93302
1.0,0.2,0.2,3.323,0.9,5,0.0,0.0,0.0,1.0,0.93299
0.422,0.749,1.0,3.181,0.641,5,5.38,1.259,1.23,0.656,0.9329
1.0,0.2,0.2,0.0,0.2,10,7.5,1.816,2.951,1.0,0.93282
0.806,0.356,0.484,1.065,0.887,8,4.889,0.08,0.03,0.727,0.9327
0.374,0.755,0.397,5.765,0.676,8,5.461,0.437,0.8,0.631,0.93264
0.2,0.2,1.0,4.721,0.9,4,0.0,3.214,0.0,1.0,0.93264
0.698,0.956,0.745,1.63,0.214,8,3.65,4.246,1.232,0.837,0.93227
0.271,0.425,0.322,7.764,0.666,7,1.236,0.4,0.605,0.672,0.93218
1.0,1.0,1.0,3.963,0.9,4,7.5,0.0,5.0,1.0,0.93218
1.0,1.0,1.0,0.0,0.9,7,7.5,5.0,0.0,1.0,0.93201
1.0,0.2,1.0,6.148,0.2,10,7.5,0.0,0.0,1.0,0.93192
0.235,0.545,0.207,3.719,0.362,6,0.847,1.911,4.428,0.926,0.93138
1.0,0.2,1.0,5.103,0.9,7,0.0,0.0,0.0,1.0,0.93106
1.0,0.2,0.2,0.0,0.2,10,7.5,5.0,0.0,1.0,0.931
0.68,0.538,0.748,6.976,0.445,10,3.167,0.929,1.051,0.972,0.931
1.0,0.2,1.0,0.0,0.9,4,7.5,0.0,0.0,1.0,0.93074
0.71,0.452,0.306,2.147,0.886,5,7.39,3.363,1.284,0.722,0.93063
0.934,0.427,0.414,2.079,0.234,7,4.705,1.511,4.363,0.589,0.93005
0.2,1.0,1.0,10.0,0.2,10,0.0,0.0,0.0,1.0,0.92996
0.704,0.417,0.701,3.362,0.435,7,0.466,2.806,4.416,0.708,0.92979
0.304,0.288,0.291,4.668,0.406,9,0.531,1.432,2.527,0.588,0.92921
1.0,1.0,1.0,10.0,0.2,10,4.659,0.0,0.0,1.0,0.92913
0.705,0.424,0.24,4.891,0.743,5,4.617,2.635,0.059,0.732,0.92893
0.2,1.0,1.0,0.0,0.2,6,5.324,0.0,3.011,1.0,0.9289
0.422,0.545,0.43,8.647,0.673,8,0.321,0.544,1.645,0.639,0.92872
0.888,0.332,0.725,3.695,0.772,10,1.224,4.161,2.214,0.994,0.92846
0.845,0.426,0.843,8.607,0.315,9,1.404,0.239,3.027,0.938,0.92826
0.944,0.746,0.213,8.437,0.611,5,6.229,0.295,4.795,0.943,0.92806
0.202,0.964,0.419,4.632,0.629,8,5.329,0.206,1.476,0.596,0.9278
0.729,0.872,0.593,5.019,0.692,8,5.781,0.853,4.749,0.592,0.92754
0.265,0.633,0.23,6.829,0.62,9,3.785,1.289,0.994,0.613,0.92743
0.2,0.2,1.0,10.0,0.9,4,7.5,0.0,0.0,1.0,0.92725
0.2,1.0,0.2,8.722,0.9,4,0.0,0.0,0.0,1.0,0.9265
0.2,0.2,0.2,4.168,0.9,6,3.05,0.0,0.0,0.5,0.92625
0.846,0.22,0.481,9.051,0.854,5,2.171,0.667,1.565,0.66,0.92604
0.77,0.622,0.301,1.252,0.397,6,6.546,4.509,4.662,0.55,0.92581
1.0,1.0,0.2,7.845,0.9,4,0.0,5.0,0.0,1.0,0.92581
0.379,0.657,0.514,7.77,0.783,7,6.835,1.606,4.211,0.874,0.92581
0.204,0.313,0.79,8.4,0.606,7,1.682,2.286,0.61,0.746,0.92544
0.463,0.593,0.917,8.057,0.369,8,0.351,2.64,4.237,0.974,0.92506
0.246,0.877,0.661,3.506,0.383,8,3.11,4.887,2.523,0.611,0.92483
0.623,0.218,0.866,5.478,0.463,7,7.295,2.986,1.949,0.682,0.92472
1.0,1.0,1.0,5.274,0.2,4,1.805,0.0,0.0,1.0,0.92446
0.425,0.588,0.801,8.537,0.473,9,4.598,2.662,2.983,0.903,0.9244
0.904,0.613,0.239,7.717,0.78,7,2.116,1.943,3.791,0.66,0.924
0.2,0.2,0.2,4.85,0.9,4,7.5,0.0,0.0,1.0,0.92397
0.2,1.0,0.2,5.208,0.9,10,7.5,5.0,0.0,1.0,0.92382
0.2,1.0,1.0,0.0,0.2,4,0.0,0.0,0.424,1.0,0.92377
0.2,1.0,1.0,5.181,0.9,10,0.0,5.0,0.0,1.0,0.92368
0.736,0.242,0.481,8.618,0.276,10,1.356,0.909,3.509,0.586,0.92345
0.818,0.289,0.691,8.545,0.265,4,4.426,0.949,1.978,0.627,0.92325
1.0,1.0,1.0,10.0,0.9,10,7.5,0.0,5.0,1.0,0.92325
0.2,1.0,1.0,0.0,0.9,10,7.5,5.0,5.0,0.5,0.92284
0.888,0.762,0.258,2.962,0.695,4,3.731,4.659,2.305,0.521,0.92261
