kernel,C,coef0,degree,gamma,tol,mean_test_score
rbf,947.3405089909378,,,0.0,0.0001,0.93334
poly,648.3635832522973,7.720076062814066,3.9070069908943355,0.6833230788816907,1.0655235093211441,0.9331
poly,631.0384637033002,19.472029932581783,1.992706533019775,1.8561319408650323,0.0032181787530641166,0.93256
poly,962.3101251361334,14.60189006952541,4.409647895636892,1.1926654815308884,1.5215017022351804,0.93253
poly,985.8672366679072,15.748433774753543,2.194582355382008,4.790198520307293,0.9905555576163347,0.93198
poly,461.4504076243352,3.515587750580771,3.4050409506114105,3.658344021383857,1.3605884363759349,0.93152
rbf,534.1146669691243,,,4.280410256255677,2.0,0.93146
poly,792.8078872607573,0.18626099144242048,2.0308364408615693,2.9823148601495193,0.4512391535955539,0.93028
poly,160.68787920512494,18.853854681806247,2.870789830825009,13.454240464163284,0.3499350028708571,0.92953
rbf,742.1778440906509,,,0.0,0.0001,0.9289
poly,806.9085329757118,17.746532429172753,4.065763753862164,7.079275427499282,1.2091131145732095,0.92884
poly,481.2384150887708,14.37229156885185,2.8168880868787447,14.62742013888242,1.5611428922038466,0.9287
poly,140.7768369283967,5.296913329887143,2.858847946775735,7.8262457639982514,0.7590370066432752,0.92769
rbf,991.620723767542,,,0.0,2.0,0.92492
poly,217.82879056396254,18.011988508662057,4.645757332189664,5.098315501543489,1.8920690482722835,0.92483
rbf,883.6421354391487,,,0.0,2.0,0.9238
poly,885.411866360188,20.0,1.0,0.0,2.0,0.92371
rbf,843.016322478163,,,0.0,2.0,0.92325
poly,119.55532917286341,17.56748875971163,4.5119308802641775,13.629663277322482,0.4248654455987984,0.92302
rbf,701.0133507809411,,,7.279428673101532,1.9984420469851794,0.92276
rbf,281.945357701121,,,4.337199045886766,1.7457332771598622,0.92267
poly,522.2740235728388,18.737967009001856,4.993269150574737,13.195938240206612,1.7977539529736575,0.92166
sigmoid,53.79858854596477,2.443638996735844,,,2.0,0.92158
sigmoid,801.0894586315508,-0.64152508486218,,,0.0001,0.92155
poly,544.6745606072535,1.7158807301012036,3.0401916741522768,7.197503264513203,1.1518762683406494,0.92143
rbf,533.6540096747962,,,0.0,0.0001,0.92071
rbf,266.25567309806434,,,4.808068214769511,2.0,0.92025
poly,786.7276312822053,20.0,5.0,15.0,0.0001,0.92016
poly,976.2062254807911,-4.852419028157786,1.0494630398327607,0.0,0.3624387085454971,0.92013
sigmoid,57.637829714268555,-4.7283195823831505,,,1.2485548941771285,0.91973
rbf,859.9451038724079,,,0.0,2.0,0.91953
poly,262.97315259563794,20.0,3.66665784338363,10.720578393120975,0.5519443716924111,0.91921
poly,417.94870923207407,20.0,5.0,15.0,2.0,0.9191
poly,459.29854482982597,20.0,5.0,15.0,2.0,0.9191
